,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.7969741086902429(0.0),0.7969401129770858(0.0),0.793614098999009(0.0),0.8024873075395181(1.1102230246251565e-16),0.8027281150550262(0.0),0.7986893915913267(0.0),0.8057344711074637(1.1102230246251565e-16),0.8063692032670808(0.0),0.8019143460818168(0.0),0.8014941743461692(0.0),0.8015840474433913(1.1102230246251565e-16),0.7973956446198371(0.0),0.8049068419237535(1.1102230246251565e-16),0.8046404421298015(0.0),0.8046717640228224(0.0),0.8056494545406923(0.0),0.8066408415657891(0.0),0.8064316833498492(0.0),0.8014226905833512(0.0),0.8008403434712952(0.0),0.8021286882347549(0.0),0.8044603139610518(0.0),0.8032566583578161(0.0),0.8040159141409069(0.0),0.8013101172988524(0.0),0.7998066664338441(0.0),0.8047376273065792(1.1102230246251565e-16),0.7983152204755689(0.0),0.8002492109502212(0.0),0.7974383711742543(0.0),0.7993107546502644(0.0),0.801026965203232(1.1102230246251565e-16),0.802598571197828(1.1102230246251565e-16),0.8008875991496162(1.1102230246251565e-16),0.7985232327685933(0.0),0.799758701374671(0.0)
1,0.7971874686235393(0.0),0.7966196911028363(0.0),0.793415581495855(0.0),0.8021327262488377(1.1102230246251565e-16),0.8026166876934429(0.0),0.7981013694324517(0.0),0.8054954097602073(0.0),0.807378051974698(1.1102230246251565e-16),0.8026892082436603(0.0),0.8021150462952858(0.0),0.801844935893798(0.0),0.7983190947863781(0.0),0.8034237994001912(0.0),0.8059713497444048(1.1102230246251565e-16),0.8033554259995721(0.0),0.8075562702719221(0.0),0.8124489245786279(1.1102230246251565e-16),0.8062430426108707(0.0),0.8033866933248353(0.0),0.8028212076499631(0.0),0.801425855513308(1.1102230246251565e-16),0.8053938591627997(1.1102230246251565e-16),0.806384100264981(0.0),0.8028184246943114(0.0),0.804066225613669(0.0),0.802849473748543(0.0),0.804442088329921(0.0),0.8017593190816902(0.0),0.8034315480218097(0.0),0.8022010450816988(0.0),0.8037359269752438(0.0),0.7995582194322335(0.0),0.802208520864528(0.0),0.8025885307303785(0.0),0.7984755405482096(0.0),0.8033261231135926(1.1102230246251565e-16)
2,0.7896128635849707(0.0),0.789578758736298(0.0),0.7876674138811645(0.0),0.7950381537763072(0.0),0.7960568792481(0.0),0.7925107935025079(0.0),0.7981288715824214(0.0),0.7985853308770566(0.0),0.7962419185150584(0.0),0.7945360212683295(0.0),0.7945170862563462(0.0),0.7920412379459825(0.0),0.7952205192231296(0.0),0.7957070999201128(0.0),0.7966318597128427(0.0),0.7979452510771675(0.0),0.7990065394001039(0.0),0.7969891148236588(0.0),0.7939541652660942(0.0),0.794627422262772(0.0),0.7939528556399051(0.0),0.7955375578963911(0.0),0.7953234885822423(0.0),0.7948086417866793(0.0),0.7966910657301383(0.0),0.7974389714195911(0.0),0.7956059312970102(0.0),0.79035520336312(0.0),0.7933015894496515(0.0),0.7952734499482697(0.0),0.7949558110296717(0.0),0.7955456339245568(0.0),0.793975937801487(0.0),0.7928383091852815(0.0),0.7942234571512138(0.0),0.7943165497461508(0.0)
3,0.7905580862869042(0.0),0.7906348631222362(0.0),0.7890565998611797(0.0),0.7955359754314127(0.0),0.7953250710472207(0.0),0.7933613957122838(0.0),0.7997752354053075(0.0),0.7997056615140151(0.0),0.7966458290588591(0.0),0.7951504542220166(0.0),0.7954591985960806(0.0),0.7934693853051211(0.0),0.7977175943913075(0.0),0.7988278299930589(0.0),0.7975293356266343(0.0),0.8003193305190921(0.0),0.7997219772736202(0.0),0.7990569054406237(0.0),0.7945766742479471(0.0),0.7939047268774583(0.0),0.7960269215490259(0.0),0.7955519092167126(0.0),0.7912605916018038(0.0),0.7970829713672061(0.0),0.7951138938242395(0.0),0.7951627319675387(0.0),0.7969145752663999(0.0),0.791701662788718(0.0),0.7924677395415436(0.0),0.7940873651630704(0.0),0.7947830495082354(0.0),0.7945353664552348(0.0),0.795472785967792(0.0),0.7937780751114274(0.0),0.7942330610766(0.0),0.7964986052481088(0.0)
4,0.7943679525740701(0.0),0.7949442972327598(0.0),0.7919730828163947(0.0),0.8007971258070572(0.0),0.8007770448721587(0.0),0.7964416910766436(0.0),0.8055713135114134(0.0),0.8049861288759479(0.0),0.8011254054384411(1.1102230246251565e-16),0.7996854168758432(0.0),0.7998479196587988(0.0),0.7972642454588713(0.0),0.8031900856932068(1.1102230246251565e-16),0.8048088927983656(1.1102230246251565e-16),0.8017397292566126(0.0),0.8079106332915706(1.1102230246251565e-16),0.8099419180785163(1.1102230246251565e-16),0.8053028947104197(0.0),0.7999061980242107(0.0),0.799648856478066(0.0),0.7996275750524942(0.0),0.8072859415994028(0.0),0.8031607282394695(1.1102230246251565e-16),0.8033496963849951(0.0),0.8029912407835056(0.0),0.8033352359291579(0.0),0.8061925674348351(0.0),0.7986174712864457(0.0),0.8002931925630694(0.0),0.7999912145909819(0.0),0.8050133036193701(1.1102230246251565e-16),0.8017461136842841(0.0),0.8011975440143535(0.0),0.8009417849331871(1.1102230246251565e-16),0.7999466873005548(0.0),0.8015497243236872(1.1102230246251565e-16)
5,0.7937913896443491(0.0),0.7937024987667687(0.0),0.7907933824588669(0.0),0.800431085287223(0.0),0.8000936928402738(0.0),0.7960128976352517(0.0),0.8048618780912633(1.1102230246251565e-16),0.8051074875694647(0.0),0.8007112361561599(0.0),0.7993506982490297(0.0),0.7995792280190157(0.0),0.7965434599450829(0.0),0.8040990208361528(1.1102230246251565e-16),0.8045907854701341(1.1102230246251565e-16),0.8010397886263331(0.0),0.8089104783191384(0.0),0.8093678106978999(0.0),0.8039575266399794(1.1102230246251565e-16),0.8003148013951884(0.0),0.7980556416513513(0.0),0.8008432355624626(0.0),0.7994837344427322(0.0),0.8031994713475615(1.1102230246251565e-16),0.8020411069833635(0.0),0.7980537863475835(0.0),0.7967831761054337(0.0),0.8014104674055869(0.0),0.8020712829534691(0.0),0.8008199351298494(0.0),0.7983409764572864(0.0),0.802463897971389(1.1102230246251565e-16),0.7997468601712117(0.0),0.7999090355476203(0.0),0.8019307709769375(1.1102230246251565e-16),0.8028805228027747(1.1102230246251565e-16),0.8016337041030589(1.1102230246251565e-16)
6,0.7904181745557093(0.0),0.7906951059269316(0.0),0.7887878536536388(0.0),0.7959582753096175(0.0),0.7958472299223391(0.0),0.7933577396725061(0.0),0.799740966853361(0.0),0.7999251330361938(0.0),0.7964060583307504(0.0),0.7950115792782213(0.0),0.7953567749145469(0.0),0.7935542927363768(0.0),0.7953345112693333(0.0),0.7979360291260864(0.0),0.7970186905484278(0.0),0.800228911744291(0.0),0.799421636334269(0.0),0.7962889559223479(0.0),0.7937824405320575(0.0),0.7963665512740479(0.0),0.7892974619444455(0.0),0.7938388635937017(0.0),0.795569807441296(0.0),0.7939637146237226(0.0),0.7972362521990806(0.0),0.7994525762529848(0.0),0.7955889061565529(0.0),0.7960923482907196(0.0),0.7929876065708311(0.0),0.7904842015427398(0.0),0.7943986742217546(0.0),0.7960918026131407(0.0),0.7935887249915965(0.0),0.7969199229066717(0.0),0.7929479358108551(0.0),0.7943457980643724(0.0)
