,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.7969741086902429(0.0),0.7969401129770858(0.0),0.793614098999009(0.0),0.8024873075395181(1.1102230246251565e-16),0.8027281150550263(1.1102230246251565e-16),0.7986893915913267(0.0),0.8057344711074637(1.1102230246251565e-16),0.8063692032670808(0.0),0.8019143460818168(0.0),0.8014941743461692(0.0),0.8015840474433913(1.1102230246251565e-16),0.7973956446198371(0.0),0.8049068419237535(1.1102230246251565e-16),0.8046404421298015(0.0),0.8046717640228224(0.0),0.8056494545406923(0.0),0.8066408415657891(0.0),0.8064316833498492(0.0),0.8014226905833512(0.0),0.8008403434712952(0.0),0.8021286882347549(0.0),0.8044603139610518(0.0),0.8032566583578161(0.0),0.8040159141409069(0.0),0.8013101172988524(0.0),0.7998066664338441(0.0),0.8047376273065792(1.1102230246251565e-16),0.7983152204755689(0.0),0.8002492109502212(0.0),0.7974383711742543(0.0),0.7993107546502644(0.0),0.801026965203232(1.1102230246251565e-16),0.802598571197828(1.1102230246251565e-16),0.8008875991496162(1.1102230246251565e-16),0.7985232327685933(0.0),0.799758701374671(0.0)
1,0.7971874686235393(0.0),0.7966196911028363(0.0),0.793415581495855(0.0),0.8021327262488377(1.1102230246251565e-16),0.8026166876934429(0.0),0.7981013694324517(0.0),0.8054954097602073(0.0),0.807378051974698(1.1102230246251565e-16),0.8026892082436603(0.0),0.8021150462952858(0.0),0.801844935893798(0.0),0.7983190947863781(0.0),0.8034237994001912(0.0),0.8059713497444048(1.1102230246251565e-16),0.8033554259995721(0.0),0.8075562702719221(0.0),0.8124489245786279(1.1102230246251565e-16),0.8062430426108707(0.0),0.8033866933248353(0.0),0.8028212076499631(0.0),0.801425855513308(1.1102230246251565e-16),0.8053938591627997(1.1102230246251565e-16),0.806384100264981(0.0),0.8028184246943114(0.0),0.804066225613669(0.0),0.802849473748543(0.0),0.804442088329921(0.0),0.8017593190816902(0.0),0.8034315480218097(0.0),0.8022010450816988(0.0),0.8037359269752438(0.0),0.7995582194322335(0.0),0.802208520864528(0.0),0.8025885307303785(0.0),0.7984755405482096(0.0),0.8033261231135926(1.1102230246251565e-16)
2,0.7896128635849707(0.0),0.789578758736298(0.0),0.7876674138811645(0.0),0.7950381537763072(0.0),0.7960568792481(0.0),0.7925107935025079(0.0),0.7981288715824214(0.0),0.7985853308770566(0.0),0.7962419185150584(0.0),0.7945360212683295(0.0),0.7945170862563462(0.0),0.7920412379459825(0.0),0.7952205192231296(0.0),0.7957070999201128(0.0),0.7966318597128427(0.0),0.7979452510771675(0.0),0.7990065394001039(0.0),0.7969891148236588(0.0),0.7939541652660942(0.0),0.794627422262772(0.0),0.7939528556399051(0.0),0.7955375578963911(0.0),0.7953234885822423(0.0),0.7948086417866793(0.0),0.7966910657301383(0.0),0.7974389714195911(0.0),0.7956059312970102(0.0),0.79035520336312(0.0),0.7933015894496515(0.0),0.7952734499482697(0.0),0.7949558110296717(0.0),0.7955456339245568(0.0),0.793975937801487(0.0),0.7928383091852815(0.0),0.7942234571512138(0.0),0.7943165497461508(0.0)
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
